,sentence,sentence_bert,are_equal
19,내년 러시아월드컵 자진포기 청원드립니다.,- 내년 러시아월드컵 자진포기 청원드립니다.,True
55,근데 멜로연기는 영 ㅋㅋㅋ,ㅋㅋㅋ 근데 멜로연기는 영 ㅋㅋㅋ,True
125,욱일기~ 전범기 관련 사용금지 법안을 당장만드시요,욱일기 ~ ~ 전범기 관련 사용금지 법안을 당장만드시요,True
162,대박! 허리가 훨씬 편안하게 느껴지네요.,대박!! 허리가 훨씬 편안하게 느껴지네요.,True
214,참여연대를 위한 위원회 국민들은 없다,- 참여연대를 위한 위원회 국민들은 없다,True
237,어 저 되게 갸륵하게 나왔네요..ㅋㅋ,. 어 저 되게 갸륵하게 나왔네요.. ㅋㅋ,True
290,아직은 낯선 컬트식 영화.,"아직은 낯선, 컬트식 영화.",True
356,[기고] 법원 멋대로 운용하는 개인회생제도/이상일 언론인,/ [ 기고 ] 법원 멋대로 운용하는 개인회생제도 / 이상일 언론인,True
402,"다시 본 맬 깁슨,","다시 본, 맬 깁슨,",True
445,"서로 프로젝트 관련 이야기도 하고, 어떻게 우리 회사를 알게 됐나, 등등 여러가지 이야기를 나눴습니다.","서로 프로젝트 관련 이야기도 하고, 어떻게 우리 회사를 알게 됐나,,, 등등 여러가지 이야기를 나눴습니다.",True
550,부동산정책... 1채있는 집을 팔고 싶다..,. 부동산정책... 1채있는 집을 팔고 싶다..,True
651,아직 ; 벌써 백일인게 신기하고 자랑스럽습니당,아직 ; 벌써 ; 백일인게 신기하고 자랑스럽습니당,True
663,"하베스트 자원외교는 사기,누적손실 4조 :철저히조사해주세요","하베스트 : 자원외교는 사기, 누적손실 4조 : 철저히조사해주세요",True
753,노골적으로 하는 장면이 나오는데...,. 노골적으로 하는 장면이 나오는데...,True
780,"금융개혁, 김기식을 '머슴'으로 써주십시오 II.","☞ 금융개혁, 김기식을'머슴'으로 써주십시오 II.",True
892,배경화면 다시 찍어와야겠어요 ㅋㅋㅋ,배경화면 다시 찍어와야겠어요. ㅋㅋㅋ,True
896,아 오늘아니고 그저께에요 ㅎㅎ,아 오늘아니고 그저께에요. ㅎㅎ,True
912,"리프티드, 닥터 페퍼 최고 ㅋㅋㅋ","리프티드, 닥터 페퍼 최고! ㅋㅋㅋ",True
1020,헉?! 알파벳은 든든합니다. ~!,! 헉?! 알파벳은 든든합니다. ~!,True
1053,ㅋㅋ 심각한 오독을 했네요… 민망쓰,ㅋㅋ 심각한 오독을 했네요 … … 민망쓰,True
1080,영화마다 진지하게 일장연설하는 부분은 제발 이제 그만~,영화마다 진지하게 ~ 일장연설하는 부분은 제발 이제 그만 ~,True
1118,저도 모르게.. 하와이 간접체험 할 사람마냥 넘나리 많은 질문들을 드렸네요ㅋㅋ,.. 저도 모르게.. 하와이 간접체험 할 사람마냥 넘나리 많은 질문들을 드렸네요ㅋㅋ,True
1185,참가하실분들 댓글 부탁드립니당 ㅎ,참가하실분들 댓글 부탁드립니당. ㅎ,True
1216,그래도 전 오덕은 안되겠습니다ㅠ,"그래도, 전 오덕은 안되겠습니다ㅠ",True
1350,서핑하러 가셔야 하는데 미세먼지 매우나쁨으로 못 가고 계신다는..ㅠㅠ,서핑하러 가셔야 하는데. 미세먼지 매우나쁨으로 못 가고 계신다는.. ㅠㅠ,True
1353,국회의원& 청와대 님들은... 발발이 였군요!!,. 국회의원 & 청와대 님들은... 발발이 였군요!!,True
1490,헐.... 심각한 이야기라 이런 말 하기 쫌 그렇지만...사진만 보면 재첩국...,. 헐.... 심각한 이야기라 이런 말 하기 쫌. 그렇지만... 사진만 보면 재첩국...,True
