,Unnamed: 0,id,source,sentence_1,sentence_2,label,binary-label,index
0,0,boostcamp-sts-v1-dev-000,nsmc-sampled,액션은개뿔 총몇번쏘고 끝입니다,액션은 흉내만 내고 그마저도 후반부에는 슬로우모션 처리,2.0,0.0,0
1,0,,,액션은개뿔 총몇번쏘고 끝입니다,액션은 흉내만 잘 내고 그마저도 후반부에는 슬로우모션 처리,2.0,0.0,0
2,1,boostcamp-sts-v1-dev-001,slack-rtt,감격스러워 입막으심?,너무 감동해서 입 다물어?,3.4,1.0,1
3,1,,,감격스러워 입막으심?,너무 감동해서 왜 입 다물어?,3.4,1.0,1
4,2,boostcamp-sts-v1-dev-002,nsmc-rtt,이번 년도에 본 영화 중 가장 최악의 영화......,올해 본 영화 중 최악...,4.0,1.0,2
5,2,,,이번 몇 년도에 본 영화 중 가장 최악의 영화......,올해 본 영화 중 최악...,4.0,1.0,2
6,3,boostcamp-sts-v1-dev-003,slack-rtt,특히 평소 뮤직채널에 많은 영감을 불어넣어주시는!,"특히, 당신은 항상 많은 음악 채널에 영감을 줍니다!",3.4,1.0,3
7,3,,,특히 평소 뮤직채널에 많은 영감을 불어넣어주시는!,"특히, 당신은 항상 더 많은 음악 채널에 영감을 줍니다!",3.4,1.0,3
8,3,,,! 특히 평소 뮤직채널에 많은 영감을 불어넣어주시는!,"특히, 당신은 항상 더 많은 음악 채널에 영감을 줍니다!",,,3
9,3,,,! 특히 평소 뮤직채널에 많은 영감을 불어넣어주시는!,"특히, 당신은 항상 많은 음악 채널에 영감을 줍니다!",3.4,1.0,3
11,4,,,다음 밥스테이지가 더 기대됩니다 ~ ㅎ,다음 후기도 기대됩니다~~,1.4,0.0,4
10,4,boostcamp-sts-v1-dev-004,slack-sampled,다음 밥스테이지가 기대됩니다~ ㅎ,다음 후기도 기대됩니다~~,1.4,0.0,4
12,5,,,사진이 간지.. ㅋㅋ 축하드립니다,사진이 나왔어요..ㅋㅋㅋ 축하드립니다.,2.4,0.0,5
13,5,boostcamp-sts-v1-dev-005,slack-rtt,사진 간지.. ㅋㅋ 축하드립니다,사진이 나왔어요..ㅋㅋㅋ 축하드립니다.,2.4,0.0,5
14,6,boostcamp-sts-v1-dev-006,nsmc-sampled,영화보면서 기분전환이 되었어요,영화 보는 내내 뭔가 모를 편안함을 느꼈어요,2.0,0.0,6
15,6,,,영화보면서 기분전환이 되었어요,그리고 영화 보는 내내 뭔가 모를 편안함을 느꼈어요,2.0,0.0,6
