id,source,sentence_1,sentence_2,label,binary-label,sentence_1_bert,sentence_2_bert
boostcamp-sts-v1-train-014,slack-sampled,아래는 게임 내에서 함께 팀을 맺고 캡쳐한 이미지입니다.,여러분들간의 다양한 아이디어를 제안하고 나누는 채널입니다.,0.0,0.0,아래는 모두 게임 내에서 함께 팀을 맺고 캡쳐한 이미지입니다.,여러분들간의 아주 다양한 아이디어를 제안하고 나누는 채널입니다.
boostcamp-sts-v1-train-019,petition-sampled,내년 러시아월드컵 자진포기 청원드립니다.,2023 아시안컵 유치에 공동개최를 반대 합니다.,0.0,0.0,내년 러시아월드컵 자진포기를 청원드립니다.,2023 아시안컵 유치에 공동개최를 반대해야 합니다.
boostcamp-sts-v1-train-020,slack-sampled,앞머리 새로 하셨습니다. ^^,가방에 넣어 다니면서 조금씩 먹습니다. ^^,0.0,0.0,앞머리 앞머리 새로 하셨습니다. ^ ^,가방에 넣어 다니면서 조금씩 꺼내 먹습니다. ^ ^
boostcamp-sts-v1-train-022,slack-sampled,답답할 때 보면 속이 뻥 뚫릴 것 같아요,양보단 한입 먹는 순간 고삐 풀릴 것 같아요 ㅋㅋㅋ,0.0,0.0,답답할 때 보면 정말 속이 뻥 뚫릴 것 같아요,양보단 한입 먹는 순간 순간 고삐 풀릴 것 같아요 ㅋㅋㅋ
boostcamp-sts-v1-train-023,nsmc-sampled,노래와 잘 어우러지는 영상 덕분인지 짧지만 강한 인상이 남네요..,조금유치하지만 가볍게 볼수는 있는영화네요!,0.0,0.0,노래와 잘 어우러지는 이 영상 덕분인지 짧지만 강한 인상이 남네요..,그래도 조금유치하지만 가볍게 볼수는 있는영화네요!
boostcamp-sts-v1-train-038,nsmc-sampled,아무리그래도 걸어간다는 설정은쫌-_-;,허나 알리슨 로먼이 벗은건 충격 -_-;;,0.0,0.0,아무리그래도 걸어간다는 설정은쫌-_-;,허나 알리슨 로먼이 벗은건 충격. - _ - ; ;
boostcamp-sts-v1-train-046,slack-sampled,저는 왜 솥에 들어가계시나 했어요 ㅋㅋ,저는 사과나 우유에 프로틴타서 먹어요 ㅎㅎ,0.0,0.0,저는 왜 솥에 들어가계시나 했어요. ㅋㅋ,저는 사과나 바나나 우유에 프로틴타서 먹어요 ㅎㅎ
boostcamp-sts-v1-train-047,nsmc-sampled,동생이랑같이봤는데살인데 그닥무서워하지않고 잘본것같음....,내용도 그렇고 별로 맘에들지않는다.......,0.0,0.0,동생이랑같이봤는데살인데 그닥무서워하지않고 잘본것같음....,내용도 그렇고 별로 별로 맘에들지않는다.......
boostcamp-sts-v1-train-054,petition-sampled,지금 있는 시설 관리라도 좀 잘 했으면 좋겠습니다,여성가족부 폐지하고 그 예산을 좀 더 올바르게 사용했으면 좋겠습니다.,0.0,0.0,지금 있는 시설 관리라도 좀 더 잘 했으면 좋겠습니다,여성가족부를 폐지하고 그 예산을 좀 더 올바르게 사용했으면 좋겠습니다.
boostcamp-sts-v1-train-055,nsmc-sampled,근데 멜로연기는 영 ㅋㅋㅋ,유령나올때 멜로디는 어릴때 충격적이였지 ㅋㅋㅋ,0.0,0.0,근데 멜로연기는 영. ㅋㅋㅋ,유령나올때 멜로디는 어릴때부터 충격적이였지 ㅋㅋㅋ
