,sentence_2,sentence_2_bert
14,여러분들간의 다양한 아이디어를 제안하고 나누는 채널입니다.,여러분들간의 다양한 아이디어를 제안하고 함께 나누는 채널입니다.
19,2023 아시안컵 유치에 공동개최를 반대 합니다.,2023 아시안컵 유치에 공동개최를 강력히 반대 합니다.
20,가방에 넣어 다니면서 조금씩 먹습니다. ^^,가방에 넣어 다니면서 이것저것 조금씩 먹습니다. ^ ^
22,양보단 한입 먹는 순간 고삐 풀릴 것 같아요 ㅋㅋㅋ,양보단 한입 먹는 순간 고삐가 풀릴 것 같아요 ㅋㅋㅋ
23,조금유치하지만 가볍게 볼수는 있는영화네요!,조금유치하지만 가볍게도 볼수는 있는영화네요!
38,허나 알리슨 로먼이 벗은건 충격 -_-;;,"허나, 알리슨 로먼이 벗은건 충격 - _ - ; ;"
46,저는 사과나 우유에 프로틴타서 먹어요 ㅎㅎ,저는 사과나 우유에만 프로틴타서 먹어요 ㅎㅎ
47,내용도 그렇고 별로 맘에들지않는다.......,그 내용도 그렇고 별로 맘에들지않는다.......
54,여성가족부 폐지하고 그 예산을 좀 더 올바르게 사용했으면 좋겠습니다.,여성가족부 폐지하고 그 예산을 좀 더 올바르게 잘 사용했으면 좋겠습니다.
55,유령나올때 멜로디는 어릴때 충격적이였지 ㅋㅋㅋ,유령나올때 멜로디는 어릴때부터 충격적이였지 ㅋㅋㅋ
71,저도 데스커 사용 중입니다!,저도 데스커를 사용 중입니다!
72,스우파 리정 vs 시미즈에서 리정 배틀곡이기도합니다,스우파 리정전 vs 시미즈에서 리정 배틀곡이기도합니다
76,투혼과 함께 반담의 최고영화. 복수의 칼날 반담~,투혼과 함께 반담의 최고영화. > 복수의 칼날 반담 ~
77,아ㅎㅎㅎ 새로 인터넷 설치해야하는 줄 알았는데 돈 굳은 느낌이네요,아 아ㅎㅎㅎ 새로 인터넷 설치해야하는 줄 알았는데 돈 굳은 느낌이네요
81,각자 사는 곳의 날씨 이야기부터 시작했습니다.,각자 사는 두 곳의 날씨 이야기부터 시작했습니다.
82,MBN 을 강력하게 제재해주세요 !!!!!!,MBN 을 강력하게 제재해주세요!!!!!!!
107,건강보험 보장 확대에 오타반점 제거 시술도 포함해 주세요.,건강보험료 보장 확대에 오타반점 제거 시술도 포함해 주세요.
109,가난한 영화의 넘치는 여운..그녀의 말을 마저 듣고 싶다.,가난한 영화의 넘치는 여운.. 그녀의 마지막 말을 마저 듣고 싶다.
116,그리고 그림 또한 그리는걸 좋아하셔서 타블렛까지 구매하셔서 종종 그리신다고 하십니다!,"그리고 그림 또한 그리는걸 좋아하셔서 타블렛까지 구매하셔서, 또 종종 그리신다고 하십니다!"
121,ㅠㅠ 인도에서 오는 비행 2주간 금지라고 합니다.,. ㅠㅠ 인도에서 오는 비행 2주간 금지라고 합니다.
125,풍등 제작 및 날리기 행위를 법으로 금지해야합니다.,또한 풍등 제작 및 날리기 행위를 법으로 금지해야합니다.
128,여배우 노출은 심하던데.재미없어서 졸려서 본 영화.,여배우 노출은 좀 심하던데. 재미없어서 졸려서 본 영화.
129,5m 이동시 핸드폰 액정 자동꺼짐 설치 의무화 해주세요.,5m 이동시 핸드폰 액정에 자동꺼짐 설치 의무화 해주세요.
131,(잘 어울릴 수 있어요),""" ( 잘 어울릴 수 있어요 )"
139,공포감도 별루고.. 암튼 비추..,. 공포감도 별루고.. 암튼 비추..
155,많은 국민들이 엄청난 피해를 보고 있습니다.,많은 국민들이 엄청난 피해를 많이 보고 있습니다.
162,하늘색깔이 정말 파랗고 멋지네요.,하늘색깔이 정말 파랗고 정말 멋지네요.
180,이때의 베이싱어는 엔트립먼트의 제타존스가 따라올수 없다..,이때의 베이싱어는 엔트립먼트의 경우 제타존스가 따라올수 없다..
183,대통령에게 매일같이 욕을 하는 놈을 알고 있어요~~~~~~~~~~~~~~~~~~~~~~~~~,대통령에게 매일같이 욕을 하는 나쁜 놈을 알고 있어요 ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~
184,솔직히 돈주고 본게 아니라 돈아깝다는 소리는 못하고요.,솔직히 돈주고 본게 아니라서 돈아깝다는 소리는 못하고요.
193,보안 관련하여 내용 좀 정리해서 추후 공지/당부 따로 드리긴할텐데요~!,일단 보안 관련하여 내용 좀 정리해서 추후 공지 / 당부 따로 드리긴할텐데요 ~!
197,조만간 또 오피스 방문하게 되면 인사드리러 가겠습니다,조만간 또 오피스를 방문하게 되면 인사드리러 가겠습니다
199,제1차~2차연평해전 및 천안함사태에 구체적인피해보상과 재발방지에 관하여 문재인대통령님께 답변을 듣고싶습니다.,제1차 ~ 2차연평해전 및 천안함사태에 대한 구체적인피해보상과 재발방지에 관하여 문재인대통령님께 답변을 듣고싶습니다.
212,난 왜 광구가 생각이나는걸까...,난 왜 이 광구가 생각이나는걸까...
214,자영업자와 근로자를 위한 수평적인 법조정 절실합니다.,자영업자와 근로자를 위한 수평적인 노사 법조정 절실합니다.
230,수정본이 오면 보여드릴게요 ㅋㅋㅋ,수정본이 오면 보여드릴게요. ㅋㅋㅋ
231,적폐 청산에 억울함을 호소합니다.,적폐의 청산에 억울함을 호소합니다.
232,이스람 이집트 난민이 인천공황으로 몰리고 있습니다.,최근 이스람 이집트 난민이 인천공황으로 몰리고 있습니다.
237,자꾸 이러시면 또 쪄갑니다….ㅋㅋ,자꾸 이러시면 또 안 쪄갑니다 …. ㅋㅋ
240,상가임대차보호법 소급적용 및 소급 차등적용 제안합니다.,- 상가임대차보호법 소급적용 및 소급 차등적용 제안합니다.
241,일본인 입장에서 이렇게 만들기 쉽지 않았을텐데 대단하네요.,일본인 입장에서 이렇게 만들기 쉽지 않았을텐데 정말 대단하네요.
260,이런 영화를 보면 주성치가 왜 대단한지 알수있다.,이런 영화를 보면 주성치가 왜 대단한지를 알수있다.
265,저희..옛날에 아주 조그만한 인연이 있더라구용...ㅎㅎ,저희.. 옛날에 아주. 조그만한 인연이 있더라구용... ㅎㅎ
268,더 재치있고 더 세련되게 덜 노골적으로 만들수 있었다.,더 더 재치있고 더 세련되게 덜 노골적으로 만들수 있었다.
290,지극히 일본스타일의 영화.  외국인에겐 천국보다 낯선.,지극히 일본스타일의 영화. 외국인에겐 그 천국보다 낯선.
292,저 크기 터치 화면이었다면 마이노리티 리포트 느낌으로 일하실듯 ㅋㅋㅋ 슈숙,만약 저 크기의 터치 화면이었다면 마이노리티 리포트 느낌으로 일하실듯 ㅋㅋㅋ 슈숙
296,조자룡도 완전 딴사람으로 만들어놓고,조자룡도 이제 완전 딴사람으로 만들어놓고
314,이건 드라마 보다 더 드라마.,이건 드라마 보다 훨씬 더 드라마.
334,길거리 담배피우는 사람에게도 과태료 부과해주세요,길거리 담배피우는 사람에게도 반드시 과태료 부과해주세요
336,성행위 장면이 너무 더럽고 싸구려틱하다.,성행위 장면이 너무 더럽고 너무 싸구려틱하다.
337,모든 공무원 시험의 한국사 과목은 한국사 능력검정시험으로 통일해야 합니다.,모든 공무원 시험의 한국사 과목은 한국사 능력검정시험으로 통일해야만 합니다.
339,빠진 프로젝트가 있으면 자유롭게 추가해주셔도 좋습니다!!,빠진 프로젝트가 있으면 자유롭게 다시 추가해주셔도 좋습니다!!
346,생각해 보니 오늘 12.12 아닌가요 ???,생각해 내 보니 오늘 12. 12 아닌가요???
356,[청년실업문제] 외국인근로자를 청년으로 대체하는 정책으로,[ 청년실업문제 ] 외국인근로자를 일반 청년으로 대체하는 정책으로
357,오오 몰랐는데 굿 정보,오오 몰랐는데. 굿 정보
380,인터넷실명제가 꼭 필요한 시점입니다.,인터넷실명제가 꼭 꼭 필요한 시점입니다.
385,평양에서 공연하는거요. 북한인민에겐 고문 아닙니까?,평양에서 공연하는거요. 북한인민에겐 인권 고문 아닙니까?
391,"지난 금요일, 전사 휴무임에도 불구하고 악착같이 회사 사람들과 라운딩 ㅎㅎ","지난 금요일, 전사 휴무임에도 불구하고, 악착같이 다른 회사 사람들과 라운딩 ㅎㅎ"
398,제주에서 햇님을 달고오셨는지 오늘 아주 화창한 날씨에 산책이 좋았습니다.,왜 제주에서 햇님을 달고오셨는지 오늘 아주 화창한 날씨에 산책이 좋았습니다.
